crosswalk_id,교차로,신호등,주변학교유무,사고건수,car,cctv,safe,smart,demo_weight
06-0000003583,0,0,1,1.0,0.11917808199999999,1,0,0,351.49316239316244
06-0000037221,1,1,1,2.0,0.068493151,1,2,0,351.49316239316244
06-0000003137,1,1,1,5.0,0.0,1,24,0,351.49316239316244
06-0000037218,0,0,1,2.0,0.0,1,0,0,281.19452991452994
06-0000037725,1,1,1,5.0,0.0,1,26,0,351.49316239316244
06-0000037214,1,0,1,5.0,0.0,1,0,0,281.19452991452994
06-0000037217,0,0,1,2.0,0.0,1,0,0,281.19452991452994
06-0000037215,0,0,1,0.0,0.0,1,0,0,281.19452991452994
06-0000037219,0,0,1,1.0,0.0,1,0,0,281.19452991452994
06-0000037216,0,0,1,1.0,0.0,1,0,0,281.19452991452994
06-0000013800,1,0,1,15.0,0.357534247,0,0,0,153.25675213675214
06-0000030297,1,0,1,16.0,0.253424658,0,0,0,153.25675213675214
06-0000037739,1,0,1,16.0,0.253424658,0,0,0,153.25675213675214
06-0000033803,1,1,1,2.0,0.0,0,3,0,281.19452991452994
06-0000037738,1,1,1,13.0,0.357534247,0,6,0,153.25675213675214
06-0000027391,1,0,1,3.0,0.0,0,0,0,351.49316239316244
06-0000027392,0,0,1,3.0,0.0,0,0,0,351.49316239316244
06-0000013062,1,1,1,13.0,0.357534247,0,4,0,153.25675213675214
06-0000029141,1,1,1,11.0,0.357534247,0,4,0,153.25675213675214
06-0000033802,0,0,1,3.0,0.0,0,0,0,281.19452991452994
06-0000037737,1,1,1,10.0,0.163013699,0,4,0,153.25675213675214
06-0000052819,0,0,1,1.0,0.101369863,0,0,0,351.49316239316244
06-0000013061,1,0,1,11.0,0.163013699,1,0,0,153.25675213675214
06-0000013665,0,0,1,1.0,0.0,0,0,0,281.19452991452994
06-0000013056,0,0,1,1.0,0.083561644,0,0,0,239.08512820512817
06-0000037820,0,0,0,1.0,0.0,0,0,0,39.84752136752137
06-0000015739,0,0,1,1.0,0.0,0,0,0,281.19452991452994
06-0000050355,0,0,0,2.0,0.157534247,0,0,0,281.19452991452994
06-0000037823,0,0,0,1.0,0.0,0,0,0,39.84752136752137
06-0000050358,0,0,0,0.0,0.202739726,0,0,0,281.19452991452994
06-0000013664,1,0,1,1.0,0.0,0,0,0,281.19452991452994
06-0000050356,0,0,0,2.0,0.157534247,0,0,0,281.19452991452994
06-0000037821,0,0,0,1.0,0.0,0,0,0,39.84752136752137
06-0000013063,1,0,1,4.0,0.21643835600000003,1,0,0,153.25675213675214
06-0000038059,1,0,1,4.0,0.21643835600000003,1,0,0,153.25675213675214
06-0000029142,1,0,1,4.0,0.21643835600000003,1,0,0,153.25675213675214
06-0000039362,1,1,1,0.0,0.0,0,4,0,281.19452991452994
06-0000038567,1,1,1,0.0,0.0,0,12,0,281.19452991452994
06-0000037822,0,0,0,1.0,0.0,0,0,0,39.84752136752137
06-0000034378,0,0,1,3.0,0.0,0,0,0,281.19452991452994
